"court_id","court_name","circuit","state","cmecf_go_live_date","cmecf_go_live_date_precision","mandatory_efiling_date","pilot_program_date","source_url","source_type","source_text","extraction_timestamp","confidence_score","notes"
"flsd","Southern District of Florida","11","FL","2002-01-01","year","","","known_reference","known_reference","Local system 2002, mandatory 2004","2025-11-28T21:43:05.754608","5",""
"gamd","Middle District of Georgia","11","GA","","unknown","","","","not_found","","2025-11-28T21:43:13.692273","0",""
"gand","Northern District of Georgia","11","GA","","unknown","","","","not_found","","2025-11-28T21:43:26.655736","0",""
"gasd","Southern District of Georgia","11","GA","","unknown","","","","not_found","","2025-11-28T21:43:39.653996","0",""
"gud","District of Guam","9","GU","","unknown","","","","not_found","","2025-11-28T21:38:30.383837","0",""
"hid","District of Hawaii","9","HI","","unknown","","","","not_found","","2025-11-28T21:38:43.350770","0",""
"iand","Northern District of Iowa","8","IA","","unknown","","","","not_found","","2025-11-28T21:35:56.673559","0",""
"iasd","Southern District of Iowa","8","IA","","unknown","","","","not_found","","2025-11-28T21:35:43.636021","0",""
"idd","District of Idaho","9","ID","","unknown","","","","not_found","","2025-11-28T21:38:56.330486","0",""
"ilcd","Central District of Illinois","7","IL","","unknown","","","","not_found","","2025-11-28T21:33:46.825348","0",""
"ilnd","Northern District of Illinois","7","IL","","unknown","","","","not_found","","2025-11-28T21:33:59.834707","0",""
"ilsd","Southern District of Illinois","7","IL","","unknown","","","","not_found","","2025-11-28T21:34:12.796159","0",""
"innd","Northern District of Indiana","7","IN","","unknown","","","","not_found","","2025-11-28T21:34:25.834805","0",""
"insd","Southern District of Indiana","7","IN","","unknown","","","","not_found","","2025-11-28T21:34:38.799605","0",""
"ksd","District of Kansas","10","KS","","unknown","","","","not_found","","2025-11-28T21:40:35.089961","0",""
"kyed","Eastern District of Kentucky","6","KY","","unknown","","","","not_found","","2025-11-28T21:32:00.151385","0",""
"kywd","Western District of Kentucky","6","KY","","unknown","","","","not_found","","2025-11-28T21:32:13.112546","0",""
"laed","Eastern District of Louisiana","5","LA","","unknown","","","","not_found","","2025-11-28T21:30:03.216174","0",""
"lamd","Middle District of Louisiana","5","LA","","unknown","","","","not_found","","2025-11-28T21:30:16.194110","0",""
"lawd","Western District of Louisiana","5","LA","","unknown","","","","not_found","","2025-11-28T21:30:29.156921","0",""
"mad","District of Massachusetts","1","MA","2003-10-01","exact","","","known_reference","known_reference","Local Rule 5.4 electronic filing","2025-11-28T21:24:40.910440","5",""
"mdd","District of Maryland","4","MD","","unknown","","","","not_found","","2025-11-28T21:28:06.495676","0",""
"med","District of Maine","1","ME","","unknown","","","","not_found","","2025-11-28T21:24:48.844360","0",""
"mied","Eastern District of Michigan","6","MI","2005-11-30","exact","","","known_reference","known_reference","","2025-11-28T21:32:26.073449","5",""
"miwd","Western District of Michigan","6","MI","","unknown","","","","not_found","","2025-11-28T21:32:34.007728","0",""
"mnd","District of Minnesota","8","MN","","unknown","","","","not_found","","2025-11-28T21:36:09.637910","0",""
"moed","Eastern District of Missouri","8","MO","","unknown","","","","not_found","","2025-11-28T21:36:22.616398","0",""
"mowd","Western District of Missouri","8","MO","","unknown","","1997-01-01","known_reference","known_reference","Late 1997 pilot","2025-11-28T21:36:35.588015","5",""
"msnd","Northern District of Mississippi","5","MS","","unknown","","","","not_found","","2025-11-28T21:30:42.152309","0",""
"mssd","Southern District of Mississippi","5","MS","","unknown","","","","not_found","","2025-11-28T21:30:55.118977","0",""
"mtd","District of Montana","9","MT","","unknown","","","","not_found","","2025-11-28T21:39:09.326889","0",""
"nced","Eastern District of North Carolina","4","NC","","unknown","","","","not_found","","2025-11-28T21:28:19.463817","0",""
"ncmd","Middle District of North Carolina","4","NC","","unknown","","","","not_found","","2025-11-28T21:28:32.429582","0",""
"ncwd","Western District of North Carolina","4","NC","","unknown","","","","not_found","","2025-11-28T21:28:45.395759","0",""
"ndd","District of North Dakota","8","ND","","unknown","","","","not_found","","2025-11-28T21:36:56.537390","0",""
"ned","District of Nebraska","8","NE","","unknown","","","","not_found","","2025-11-28T21:36:43.525535","0",""
"nhd","District of New Hampshire","1","NH","","unknown","","","","not_found","","2025-11-28T21:25:01.824769","0",""
"njd","District of New Jersey","3","NJ","","unknown","","","","not_found","","2025-11-28T21:27:01.571915","0",""
"nmd","District of New Mexico","10","NM","","unknown","","","","not_found","","2025-11-28T21:40:48.054814","0",""
"nmid","District of Northern Mariana Islands","9","MP","","unknown","","","","not_found","","2025-11-28T21:39:35.262843","0",""
"nvd","District of Nevada","9","NV","","unknown","","","","not_found","","2025-11-28T21:39:22.297200","0",""
"nyed","Eastern District of New York","2","NY","","unknown","","1997-01-01","known_reference","known_reference","Late 1997 pilot","2025-11-28T21:25:53.758433","5",""
"nynd","Northern District of New York","2","NY","","unknown","","","","not_found","","2025-11-28T21:26:01.694165","0",""
"nysd","Southern District of New York","2","NY","2003-12-02","exact","","","known_reference","known_reference","New civil and criminal cases assigned to ECF","2025-11-28T21:26:14.660019","5",""
"nywd","Western District of New York","2","NY","","unknown","","","","not_found","","2025-11-28T21:26:22.594450","0",""
"ohnd","Northern District of Ohio","6","OH","","unknown","","1996-01-01","known_reference","known_reference","First pilot - asbestos cases","2025-11-28T21:32:46.987069","5",""
"ohsd","Southern District of Ohio","6","OH","","unknown","","","","not_found","","2025-11-28T21:32:54.936397","0",""
"oked","Eastern District of Oklahoma","10","OK","","unknown","","","","not_found","","2025-11-28T21:41:01.033965","0",""
"oknd","Northern District of Oklahoma","10","OK","","unknown","","","","not_found","","2025-11-28T21:41:14.002833","0",""
"okwd","Western District of Oklahoma","10","OK","2003-10-14","exact","","","known_reference","known_reference","Document scanning began","2025-11-28T21:41:26.969173","5",""
"ord","District of Oregon","9","OR","","unknown","","1997-01-01","known_reference","known_reference","Late 1997 pilot","2025-11-28T21:39:48.227480","5",""
"paed","Eastern District of Pennsylvania","3","PA","","unknown","","","","not_found","","2025-11-28T21:27:14.557651","0",""
"pamd","Middle District of Pennsylvania","3","PA","","unknown","","","","not_found","","2025-11-28T21:27:27.522099","0",""
"pawd","Western District of Pennsylvania","3","PA","","unknown","","","","not_found","","2025-11-28T21:27:40.509238","0",""
"prd","District of Puerto Rico","1","PR","","unknown","","","","not_found","","2025-11-28T21:25:14.818359","0",""
"rid","District of Rhode Island","1","RI","","unknown","","","","not_found","","2025-11-28T21:25:27.803552","0",""
"scd","District of South Carolina","4","SC","","unknown","","","","not_found","","2025-11-28T21:28:58.364345","0",""
"sdd","District of South Dakota","8","SD","2003-07-03","exact","","","known_reference","known_reference","CM/ECF went live per court website","2025-11-28T21:37:09.504369","5",""
"tned","Eastern District of Tennessee","6","TN","","unknown","","","","not_found","","2025-11-28T21:33:07.914936","0",""
"tnmd","Middle District of Tennessee","6","TN","","unknown","","","","not_found","","2025-11-28T21:33:20.880741","0",""
"tnwd","Western District of Tennessee","6","TN","","unknown","","","","not_found","","2025-11-28T21:33:33.844354","0",""
"txed","Eastern District of Texas","5","TX","","unknown","","","","not_found","","2025-11-28T21:31:08.083281","0",""
"txnd","Northern District of Texas","5","TX","","unknown","","","","not_found","","2025-11-28T21:31:21.047251","0",""
"txsd","Southern District of Texas","5","TX","","unknown","","","","not_found","","2025-11-28T21:31:34.015806","0",""
"txwd","Western District of Texas","5","TX","","unknown","","","","not_found","","2025-11-28T21:31:47.086874","0",""
"utd","District of Utah","10","UT","","unknown","","","","not_found","","2025-11-28T21:41:34.907242","0",""
"vaed","Eastern District of Virginia","4","VA","","unknown","","","","not_found","","2025-11-28T21:29:11.329087","0",""
"vawd","Western District of Virginia","4","VA","","unknown","","","","not_found","","2025-11-28T21:29:24.298443","0",""
"vid","District of the Virgin Islands","3","VI","","unknown","","","","not_found","","2025-11-28T21:27:53.525799","0",""
"vtd","District of Vermont","2","VT","","unknown","","","","not_found","","2025-11-28T21:26:35.631043","0",""
"waed","Eastern District of Washington","9","WA","","unknown","","","","not_found","","2025-11-28T21:39:56.164320","0",""
"wawd","Western District of Washington","9","WA","","unknown","","","","not_found","","2025-11-28T21:40:09.133381","0",""
"wied","Eastern District of Wisconsin","7","WI","","unknown","","","","not_found","","2025-11-28T21:34:51.761579","0",""
"wiwd","Western District of Wisconsin","7","WI","","unknown","","","","not_found","","2025-11-28T21:35:04.727590","0",""
"wvnd","Northern District of West Virginia","4","WV","","unknown","","","","not_found","","2025-11-28T21:29:37.288494","0",""
"wvsd","Southern District of West Virginia","4","WV","","unknown","","","","not_found","","2025-11-28T21:29:50.252939","0",""
"wyd","District of Wyoming","10","WY","","unknown","","","","not_found","","2025-11-28T21:41:47.873250","0",""
