"court_id","court_name","circuit","state","cmecf_go_live_date","cmecf_go_live_date_precision","mandatory_efiling_date","pilot_program_date","source_url","source_type","source_text","extraction_timestamp","confidence_score","notes"
"flsd","Southern District of Florida","11","FL","2002-01-01","year","","","https://en.wikipedia.org/wiki/CM/ECF","known_reference","Local system 2002, mandatory 2004","2025-11-28T22:13:29.168876","5",""
"gamd","Middle District of Georgia","11","GA","","unknown","","","","not_found","","2025-11-28T22:13:37.106984","0",""
"gand","Northern District of Georgia","11","GA","","unknown","","2002-01-01","https://www.justice.gov/archive/ust/articles/docs/abi_042002a.pdf","known_reference","Bankruptcy CM/ECF pilot; General Order No. 5 Jan 2000","2025-11-28T22:13:50.189068","5",""
"gasd","Southern District of Georgia","11","GA","","unknown","","","","not_found","","2025-11-28T22:13:58.141773","0",""
"gud","District of Guam","9","GU","","unknown","","","","not_found","","2025-11-28T22:08:58.168781","0",""
"hid","District of Hawaii","9","HI","","unknown","","","","not_found","","2025-11-28T22:09:11.187112","0",""
"iand","Northern District of Iowa","8","IA","","unknown","","","","not_found","","2025-11-28T22:06:29.462121","0",""
"iasd","Southern District of Iowa","8","IA","","unknown","","","","not_found","","2025-11-28T22:06:16.492916","0",""
"idd","District of Idaho","9","ID","","unknown","","","","not_found","","2025-11-28T22:09:24.165359","0",""
"ilcd","Central District of Illinois","7","IL","","unknown","","","","not_found","","2025-11-28T22:04:19.561712","0",""
"ilnd","Northern District of Illinois","7","IL","","unknown","","","","not_found","","2025-11-28T22:04:32.603404","0",""
"ilsd","Southern District of Illinois","7","IL","","unknown","","","","not_found","","2025-11-28T22:04:45.573808","0",""
"innd","Northern District of Indiana","7","IN","","unknown","","","","not_found","","2025-11-28T22:04:58.583273","0",""
"insd","Southern District of Indiana","7","IN","","unknown","","","","not_found","","2025-11-28T22:05:11.624592","0",""
"ksd","District of Kansas","10","KS","","unknown","","","","not_found","","2025-11-28T22:10:58.181183","0",""
"kyed","Eastern District of Kentucky","6","KY","","unknown","","","","not_found","","2025-11-28T22:02:32.774960","0",""
"kywd","Western District of Kentucky","6","KY","","unknown","","","","not_found","","2025-11-28T22:02:45.752664","0",""
"laed","Eastern District of Louisiana","5","LA","2003-12-01","month","","","https://www.laed.uscourts.gov/case-information/electronic-filing","known_reference","Cases available Dec 2003; mandatory Jan 2007","2025-11-28T22:00:45.960917","5",""
"lamd","Middle District of Louisiana","5","LA","","unknown","","","","not_found","","2025-11-28T22:00:53.932199","0",""
"lawd","Western District of Louisiana","5","LA","","unknown","","","","not_found","","2025-11-28T22:01:06.983743","0",""
"mad","District of Massachusetts","1","MA","2003-10-01","exact","","","https://www.mad.uscourts.gov/caseinfo/pdf/ECFadminProc.pdf","known_reference","Local Rule 5.4 electronic filing","2025-11-28T21:55:48.703043","5",""
"mdd","District of Maryland","4","MD","","unknown","","","","not_found","","2025-11-28T21:58:54.211360","0",""
"med","District of Maine","1","ME","","unknown","","","","not_found","","2025-11-28T21:55:56.693425","0",""
"mied","Eastern District of Michigan","6","MI","2004-06-01","exact","","","https://www.mied.uscourts.gov/pdffiles/policies_procedures.pdf","known_reference","Official record electronic; mandatory Nov 30, 2005","2025-11-28T22:02:58.724921","5",""
"miwd","Western District of Michigan","6","MI","","unknown","","","","not_found","","2025-11-28T22:03:06.660928","0",""
"mnd","District of Minnesota","8","MN","","unknown","","","","not_found","","2025-11-28T22:06:42.429673","0",""
"moed","Eastern District of Missouri","8","MO","","unknown","","","","not_found","","2025-11-28T22:06:55.447778","0",""
"mowd","Western District of Missouri","8","MO","","unknown","","1997-01-01","https://en.wikipedia.org/wiki/CM/ECF","known_reference","Late 1997 pilot","2025-11-28T22:07:08.451453","5",""
"msnd","Northern District of Mississippi","5","MS","","unknown","","","","not_found","","2025-11-28T22:01:19.970799","0",""
"mssd","Southern District of Mississippi","5","MS","","unknown","","","","not_found","","2025-11-28T22:01:32.958400","0",""
"mtd","District of Montana","9","MT","","unknown","","","","not_found","","2025-11-28T22:09:37.200615","0",""
"nced","Eastern District of North Carolina","4","NC","","unknown","","","","not_found","","2025-11-28T21:59:07.181325","0",""
"ncmd","Middle District of North Carolina","4","NC","","unknown","","","","not_found","","2025-11-28T21:59:20.147843","0",""
"ncwd","Western District of North Carolina","4","NC","","unknown","","","","not_found","","2025-11-28T21:59:33.113434","0",""
"ndd","District of North Dakota","8","ND","","unknown","","","","not_found","","2025-11-28T22:07:29.395850","0",""
"ned","District of Nebraska","8","NE","","unknown","","","","not_found","","2025-11-28T22:07:16.389296","0",""
"nhd","District of New Hampshire","1","NH","","unknown","","","","not_found","","2025-11-28T21:56:09.674389","0",""
"njd","District of New Jersey","3","NJ","2004-01-05","exact","","","https://www.historynjdc.org/history/history-of-the-united-states-district-court-for-the-district-of-new-jersey","known_reference","Documents available online after this date","2025-11-28T21:57:54.286145","5",""
"nmd","District of New Mexico","10","NM","","unknown","","","","not_found","","2025-11-28T22:11:11.201900","0",""
"nmid","District of Northern Mariana Islands","9","MP","","unknown","","","","not_found","","2025-11-28T22:10:03.202711","0",""
"nvd","District of Nevada","9","NV","","unknown","","","","not_found","","2025-11-28T22:09:50.221361","0",""
"nyed","Eastern District of New York","2","NY","","unknown","","1997-01-01","https://en.wikipedia.org/wiki/CM/ECF","known_reference","Late 1997 pilot","2025-11-28T21:56:56.530605","5",""
"nynd","Northern District of New York","2","NY","2002-01-01","year","","","https://www.nynd.uscourts.gov/cmecf","known_reference","District court implementation began 2002","2025-11-28T21:57:04.467438","5",""
"nysd","Southern District of New York","2","NY","2003-12-02","exact","","","https://www.nysd.uscourts.gov/rules/ecf-related-instructions","known_reference","New civil and criminal cases assigned to ECF","2025-11-28T21:57:12.403310","5",""
"nywd","Western District of New York","2","NY","","unknown","","","","not_found","","2025-11-28T21:57:20.356309","0",""
"ohnd","Northern District of Ohio","6","OH","","unknown","","1996-01-01","https://en.wikipedia.org/wiki/CM/ECF","known_reference","First pilot - asbestos cases","2025-11-28T22:03:19.641330","5",""
"ohsd","Southern District of Ohio","6","OH","","unknown","","","","not_found","","2025-11-28T22:03:27.612626","0",""
"oked","Eastern District of Oklahoma","10","OK","","unknown","","","","not_found","","2025-11-28T22:11:24.167811","0",""
"oknd","Northern District of Oklahoma","10","OK","","unknown","","","","not_found","","2025-11-28T22:11:37.254421","0",""
"okwd","Western District of Oklahoma","10","OK","2003-10-14","exact","","","https://www.okwd.uscourts.gov/ecf","known_reference","Document scanning began","2025-11-28T22:11:50.235360","5",""
"ord","District of Oregon","9","OR","","unknown","","1997-01-01","https://en.wikipedia.org/wiki/CM/ECF","known_reference","Late 1997 pilot","2025-11-28T22:10:16.219142","5",""
"paed","Eastern District of Pennsylvania","3","PA","","unknown","","","","not_found","","2025-11-28T21:58:02.222387","0",""
"pamd","Middle District of Pennsylvania","3","PA","","unknown","","","","not_found","","2025-11-28T21:58:15.188259","0",""
"pawd","Western District of Pennsylvania","3","PA","","unknown","","","","not_found","","2025-11-28T21:58:28.266665","0",""
"prd","District of Puerto Rico","1","PR","","unknown","","","","not_found","","2025-11-28T21:56:22.640738","0",""
"rid","District of Rhode Island","1","RI","","unknown","","","","not_found","","2025-11-28T21:56:35.611272","0",""
"scd","District of South Carolina","4","SC","","unknown","","","","not_found","","2025-11-28T21:59:46.093319","0",""
"sdd","District of South Dakota","8","SD","2003-07-03","exact","","","https://www.sdd.uscourts.gov/case-info/cm-ecf-case-info","known_reference","CM/ECF went live per court website","2025-11-28T22:07:42.376996","5",""
"tned","Eastern District of Tennessee","6","TN","","unknown","","","","not_found","","2025-11-28T22:03:40.650148","0",""
"tnmd","Middle District of Tennessee","6","TN","","unknown","","","","not_found","","2025-11-28T22:03:53.618987","0",""
"tnwd","Western District of Tennessee","6","TN","","unknown","","","","not_found","","2025-11-28T22:04:06.581963","0",""
"txed","Eastern District of Texas","5","TX","","unknown","","","","not_found","","2025-11-28T22:01:45.926291","0",""
"txnd","Northern District of Texas","5","TX","","unknown","","","","not_found","","2025-11-28T22:01:58.892856","0",""
"txsd","Southern District of Texas","5","TX","","unknown","","","","not_found","","2025-11-28T22:02:11.859529","0",""
"txwd","Western District of Texas","5","TX","2006-09-01","exact","","","https://www.txwd.uscourts.gov/wp-content/uploads/Attorney%20Application%20and%20Registration/Administrative%20Policies%20and%20Procedures%20for%20Electronic%20Filing%20in%20Civil%20&%20Criminal%20Cases.pdf","known_reference","Electronic filing began; mandatory Nov 1, 2006","2025-11-28T22:02:24.841209","5",""
"utd","District of Utah","10","UT","","unknown","","","","not_found","","2025-11-28T22:11:58.187740","0",""
"vaed","Eastern District of Virginia","4","VA","","unknown","","2002-01-01","https://www.justice.gov/archive/ust/articles/docs/abi_042002a.pdf","known_reference","Early pilot district; Standing Order 01-6 Nov 2001","2025-11-28T21:59:59.058135","5",""
"vawd","Western District of Virginia","4","VA","","unknown","","","","not_found","","2025-11-28T22:00:06.996898","0",""
"vid","District of the Virgin Islands","3","VI","","unknown","","","","not_found","","2025-11-28T21:58:41.245035","0",""
"vtd","District of Vermont","2","VT","","unknown","","","","not_found","","2025-11-28T21:57:33.366014","0",""
"waed","Eastern District of Washington","9","WA","","unknown","","","","not_found","","2025-11-28T22:10:24.155245","0",""
"wawd","Western District of Washington","9","WA","","unknown","","","","not_found","","2025-11-28T22:10:37.134657","0",""
"wied","Eastern District of Wisconsin","7","WI","","unknown","","","","not_found","","2025-11-28T22:05:24.600729","0",""
"wiwd","Western District of Wisconsin","7","WI","","unknown","","","","not_found","","2025-11-28T22:05:37.584617","0",""
"wvnd","Northern District of West Virginia","4","WV","","unknown","","","","not_found","","2025-11-28T22:00:19.967508","0",""
"wvsd","Southern District of West Virginia","4","WV","","unknown","","","","not_found","","2025-11-28T22:00:32.949330","0",""
"wyd","District of Wyoming","10","WY","","unknown","","","","not_found","","2025-11-28T22:12:11.182128","0",""
